company,old_snapshot,new_snapshot,type,tier,detail,old_value,new_value
Avoma,2026-05-05,2026-05-13,tier_removed,revenue intelligence (add-on),Tier 'revenue intelligence (add-on)' was removed,35,N/A
Avoma,2026-05-05,2026-05-13,tier_removed,conversation intelligence (add-on),Tier 'conversation intelligence (add-on)' was removed,35,N/A
Avoma,2026-05-05,2026-05-13,tier_added,lead router add-on,New tier 'lead router add-on' added,N/A,25
Avoma,2026-05-05,2026-05-13,ai_feature_added,startup,AI features added: Ask Avoma for a Meeting,"['Ask Avoma', 'AI Meeting Assistant', 'AI Summary Notes', 'AI Email Follow-ups']","['Ask Avoma for a Meeting', 'AI Meeting Assistant', 'AI Summary Notes', 'AI Email Follow-ups']"
Avoma,2026-05-05,2026-05-13,ai_feature_removed,startup,AI features removed: Ask Avoma,"['Ask Avoma', 'AI Meeting Assistant', 'AI Summary Notes', 'AI Email Follow-ups']","['Ask Avoma for a Meeting', 'AI Meeting Assistant', 'AI Summary Notes', 'AI Email Follow-ups']"
Avoma,2026-05-05,2026-05-13,tier_added,revenue intelligence add-on,New tier 'revenue intelligence add-on' added,N/A,35
Avoma,2026-05-05,2026-05-13,tier_removed,lead router (add-on),Tier 'lead router (add-on)' was removed,25,N/A
Avoma,2026-05-05,2026-05-13,tier_added,conversation intelligence add-on,New tier 'conversation intelligence add-on' added,N/A,35
Avoma,2026-05-05,2026-05-13,ai_feature_added,enterprise,AI features added: All AI features from Organization tier,[],['All AI features from Organization tier']
Brevo (Sendinblue),2026-05-05,2026-05-13,model_change,N/A,Pricing model changed from freemium to unknown,freemium,unknown
Brevo (Sendinblue),2026-05-05,2026-05-13,pricing_hidden,N/A,Public pricing was removed (moved to contact sales),public,hidden
Brevo (Sendinblue),2026-05-05,2026-05-13,ai_feature_added,professional,AI features added: AI send time optimization,"['AI Data Analyst', 'AI segmentation', 'AI recommendations']","['AI segmentation', 'AI Data Analyst', 'AI send time optimization']"
Brevo (Sendinblue),2026-05-05,2026-05-13,ai_feature_removed,professional,AI features removed: AI recommendations,"['AI Data Analyst', 'AI segmentation', 'AI recommendations']","['AI segmentation', 'AI Data Analyst', 'AI send time optimization']"
Brevo (Sendinblue),2026-05-05,2026-05-13,ai_feature_removed,standard,AI features removed: AI send time optimization,['AI send time optimization'],[]
Buffer,2026-05-05,2026-05-13,model_change,N/A,Pricing model changed from freemium to hybrid,freemium,hybrid
Buffer,2026-05-05,2026-05-13,ai_feature_added,team,AI features added: Unlimited AI replies,"['AI Assistant', 'AI replies (unlimited)']","['AI Assistant', 'Unlimited AI replies']"
Buffer,2026-05-05,2026-05-13,ai_feature_removed,team,AI features removed: AI replies (unlimited),"['AI Assistant', 'AI replies (unlimited)']","['AI Assistant', 'Unlimited AI replies']"
Buffer,2026-05-05,2026-05-13,ai_feature_added,essentials,AI features added: Unlimited AI replies,"['AI Assistant', 'AI replies (unlimited)']","['AI Assistant', 'Unlimited AI replies']"
Buffer,2026-05-05,2026-05-13,ai_feature_removed,essentials,AI features removed: AI replies (unlimited),"['AI Assistant', 'AI replies (unlimited)']","['AI Assistant', 'Unlimited AI replies']"
Clearscope,2026-05-05,2026-05-13,ai_feature_removed,business,"AI features removed: Deep language analysis, Prompt Tracking for ChatGPT and Gemini, AI answers monitoring","['Deep language analysis', 'Prompt Tracking for ChatGPT and Gemini', 'AI answers monitoring']",[]
Clearscope,2026-05-05,2026-05-13,ai_feature_removed,essentials,"AI features removed: Deep language analysis, Prompt Tracking for ChatGPT and Gemini, AI answers monitoring","['Deep language analysis', 'Prompt Tracking for ChatGPT and Gemini', 'AI answers monitoring']",[]
Close,2026-05-05,2026-05-13,ai_feature_added,scale,"AI features added: Chloe (AI sales agent), AI Enrich (usage-based)","['Chloe (AI sales agent) - free in beta', 'AI Email Assistant', 'AI Lead Summaries']","['Chloe (AI sales agent)', 'AI Enrich (usage-based)', 'AI Email Assistant', 'AI Lead Summaries']"
Close,2026-05-05,2026-05-13,ai_feature_removed,scale,AI features removed: Chloe (AI sales agent) - free in beta,"['Chloe (AI sales agent) - free in beta', 'AI Email Assistant', 'AI Lead Summaries']","['Chloe (AI sales agent)', 'AI Enrich (usage-based)', 'AI Email Assistant', 'AI Lead Summaries']"
Close,2026-05-05,2026-05-13,ai_feature_added,growth,"AI features added: Chloe (AI sales agent), AI Enrich (usage-based)","['Chloe (AI sales agent) - free in beta', 'AI Email Assistant', 'AI Lead Summaries']","['Chloe (AI sales agent)', 'AI Enrich (usage-based)', 'AI Email Assistant', 'AI Lead Summaries']"
Close,2026-05-05,2026-05-13,ai_feature_removed,growth,AI features removed: Chloe (AI sales agent) - free in beta,"['Chloe (AI sales agent) - free in beta', 'AI Email Assistant', 'AI Lead Summaries']","['Chloe (AI sales agent)', 'AI Enrich (usage-based)', 'AI Email Assistant', 'AI Lead Summaries']"
Cognism,2026-05-05,2026-05-13,model_change,N/A,Pricing model changed from hybrid to custom_only,hybrid,custom_only
Cognism,2026-05-05,2026-05-13,ai_feature_added,pro,"AI features added: AI company research, AI search, AI persona builder","['Cognism AI: Search', 'Cognism AI: Company Research', 'Cognism AI: Persona Builder']","['AI company research', 'AI search', 'AI persona builder']"
Cognism,2026-05-05,2026-05-13,ai_feature_removed,pro,"AI features removed: Cognism AI: Search, Cognism AI: Company Research, Cognism AI: Persona Builder","['Cognism AI: Search', 'Cognism AI: Company Research', 'Cognism AI: Persona Builder']","['AI company research', 'AI search', 'AI persona builder']"
Cognism,2026-05-05,2026-05-13,ai_feature_added,standard,"AI features added: AI company research, AI search, AI persona builder","['Cognism AI: Search', 'Cognism AI: Company Research', 'Cognism AI: Persona Builder']","['AI company research', 'AI search', 'AI persona builder']"
Cognism,2026-05-05,2026-05-13,ai_feature_removed,standard,"AI features removed: Cognism AI: Search, Cognism AI: Company Research, Cognism AI: Persona Builder","['Cognism AI: Search', 'Cognism AI: Company Research', 'Cognism AI: Persona Builder']","['AI company research', 'AI search', 'AI persona builder']"
Copper,2026-05-05,2026-05-13,ai_feature_added,professional,"AI features added: AI email template generator, AI email re-writer",[],"['AI email template generator', 'AI email re-writer']"
Copy.ai,2026-05-05,2026-05-13,ai_feature_added,scale,"AI features added: AI-powered actions, Workflows","['AI Workflows', 'Workflow Credits']","['AI-powered actions', 'Workflows']"
Copy.ai,2026-05-05,2026-05-13,ai_feature_removed,scale,"AI features removed: AI Workflows, Workflow Credits","['AI Workflows', 'Workflow Credits']","['AI-powered actions', 'Workflows']"
Copy.ai,2026-05-05,2026-05-13,ai_feature_added,growth,"AI features added: AI-powered actions, Workflows","['AI Workflows', 'Workflow Credits']","['AI-powered actions', 'Workflows']"
Copy.ai,2026-05-05,2026-05-13,ai_feature_removed,growth,"AI features removed: AI Workflows, Workflow Credits","['AI Workflows', 'Workflow Credits']","['AI-powered actions', 'Workflows']"
Copy.ai,2026-05-05,2026-05-13,ai_feature_added,expansion,"AI features added: AI-powered actions, Workflows","['AI Workflows', 'Workflow Credits']","['AI-powered actions', 'Workflows']"
Copy.ai,2026-05-05,2026-05-13,ai_feature_removed,expansion,"AI features removed: AI Workflows, Workflow Credits","['AI Workflows', 'Workflow Credits']","['AI-powered actions', 'Workflows']"
Copy.ai,2026-05-05,2026-05-13,ai_feature_added,chat,"AI features added: Access to OpenAI models, Access to Gemini models, Chat, Access to Anthropic models","['Gemini integration', 'Anthropic integration', 'AI Chat', 'OpenAI integration']","['Access to OpenAI models', 'Access to Gemini models', 'Chat', 'Access to Anthropic models']"
Copy.ai,2026-05-05,2026-05-13,ai_feature_removed,chat,"AI features removed: Gemini integration, Anthropic integration, AI Chat, OpenAI integration","['Gemini integration', 'Anthropic integration', 'AI Chat', 'OpenAI integration']","['Access to OpenAI models', 'Access to Gemini models', 'Chat', 'Access to Anthropic models']"
Customer.io,2026-05-05,2026-05-13,ai_feature_added,premium,"AI features added: Suggested segments, LLM actions","['In-app message suggestions', 'Elevated Agent limits + custom skills', 'Send-time optimization', 'AI-generated global styles', 'Email content analysis', 'AI-powered segment builder', 'AI translator for messages']","['In-app message suggestions', 'Elevated Agent limits + custom skills', 'Send-time optimization', 'AI-generated global styles', 'Suggested segments', 'Email content analysis', 'AI-powered segment builder', 'LLM actions', 'AI translator for messages']"
Customer.io,2026-05-05,2026-05-13,ai_feature_added,essentials,"AI features added: In-app message suggestions, LLM actions","['AI-generated global styles', 'LLM actions (beta)', 'Email content analysis', 'AI Agent with core execution skills', 'AI-powered segment builder', 'AI translator for messages']","['In-app message suggestions', 'AI-generated global styles', 'AI Agent with core execution skills', 'AI-powered segment builder', 'LLM actions', 'AI translator for messages']"
Customer.io,2026-05-05,2026-05-13,ai_feature_removed,essentials,"AI features removed: LLM actions (beta), Email content analysis","['AI-generated global styles', 'LLM actions (beta)', 'Email content analysis', 'AI Agent with core execution skills', 'AI-powered segment builder', 'AI translator for messages']","['In-app message suggestions', 'AI-generated global styles', 'AI Agent with core execution skills', 'AI-powered segment builder', 'LLM actions', 'AI translator for messages']"
Dealfront,2026-05-05,2026-05-13,ai_feature_added,platform,AI features added: AI enrichment for company and contact information,"['AI enrichment', 'Lead scoring and prioritization']",['AI enrichment for company and contact information']
Dealfront,2026-05-05,2026-05-13,ai_feature_removed,platform,"AI features removed: AI enrichment, Lead scoring and prioritization","['AI enrichment', 'Lead scoring and prioritization']",['AI enrichment for company and contact information']
DocuSign,2026-05-05,2026-05-13,ai_feature_removed,business pro,AI features removed: AI-assisted summary,['AI-assisted summary'],[]
DocuSign,2026-05-05,2026-05-13,ai_feature_removed,standard,AI features removed: AI-assisted summary,['AI-assisted summary'],[]
Dreamdata,2026-05-05,2026-05-13,ai_feature_added,advanced,"AI features added: AI-powered buyer identification, Advanced Attribution with AI, AI-based attribution","['AI Activation', 'Measure marketing impact with AI', 'AI-Powered Report Summaries', 'AI-based Attribution', 'AI to identify and target ideal buyers']","['AI Activation', 'AI-powered buyer identification', 'AI-Powered Report Summaries', 'AI-based attribution', 'Advanced Attribution with AI']"
Dreamdata,2026-05-05,2026-05-13,ai_feature_removed,advanced,"AI features removed: AI to identify and target ideal buyers, Measure marketing impact with AI, AI-based Attribution","['AI Activation', 'Measure marketing impact with AI', 'AI-Powered Report Summaries', 'AI-based Attribution', 'AI to identify and target ideal buyers']","['AI Activation', 'AI-powered buyer identification', 'AI-Powered Report Summaries', 'AI-based attribution', 'Advanced Attribution with AI']"
Drip,2026-05-05,2026-05-13,tier_added,starter,New tier 'starter' added,N/A,39
Drip,2026-05-05,2026-05-13,tier_removed,standard,Tier 'standard' was removed,39,N/A
Fathom,2026-05-05,2026-05-13,ai_feature_added,business,"AI features added: Conversational meeting assistant, Custom meeting bot","['AI search alerts', 'Advanced call summaries', 'Coaching metrics and AI scorecards', 'Ask Fathom: AI for all calls', 'AI-generated action items']","['AI search alerts', 'Advanced call summaries', 'Coaching metrics and AI scorecards', 'Conversational meeting assistant', 'AI-generated action items', 'Custom meeting bot']"
Fathom,2026-05-05,2026-05-13,ai_feature_removed,business,AI features removed: Ask Fathom: AI for all calls,"['AI search alerts', 'Advanced call summaries', 'Coaching metrics and AI scorecards', 'Ask Fathom: AI for all calls', 'AI-generated action items']","['AI search alerts', 'Advanced call summaries', 'Coaching metrics and AI scorecards', 'Conversational meeting assistant', 'AI-generated action items', 'Custom meeting bot']"
Fathom,2026-05-05,2026-05-13,ai_feature_added,premium,AI features added: Custom meeting bot,"['Conversational meeting assistant', 'Advanced call summaries', 'Ask Fathom: AI within a single call', 'AI-generated action items']","['Conversational meeting assistant', 'Advanced call summaries', 'AI-generated action items', 'Custom meeting bot']"
Fathom,2026-05-05,2026-05-13,ai_feature_removed,premium,AI features removed: Ask Fathom: AI within a single call,"['Conversational meeting assistant', 'Advanced call summaries', 'Ask Fathom: AI within a single call', 'AI-generated action items']","['Conversational meeting assistant', 'Advanced call summaries', 'AI-generated action items', 'Custom meeting bot']"
Fathom,2026-05-05,2026-05-13,ai_feature_removed,free,AI features removed: Automated summaries,"['Instant AI call summaries', 'Automated summaries']",['Instant AI call summaries']
Fathom,2026-05-05,2026-05-13,ai_feature_added,team,"AI features added: Conversational meeting assistant, Custom meeting bot","['AI search alerts', 'Advanced call summaries', 'Ask Fathom: AI within a single call', 'AI-generated action items']","['AI search alerts', 'Advanced call summaries', 'Conversational meeting assistant', 'AI-generated action items', 'Custom meeting bot']"
Fathom,2026-05-05,2026-05-13,ai_feature_removed,team,AI features removed: Ask Fathom: AI within a single call,"['AI search alerts', 'Advanced call summaries', 'Ask Fathom: AI within a single call', 'AI-generated action items']","['AI search alerts', 'Advanced call summaries', 'Conversational meeting assistant', 'AI-generated action items', 'Custom meeting bot']"
Fireflies.ai,2026-05-05,2026-05-13,ai_feature_removed,enterprise,AI features removed: Conversation intelligence,"['Unlimited AI summaries', '50 AI credits', 'Conversation intelligence']","['Unlimited AI summaries', '50 AI credits']"
Fireflies.ai,2026-05-05,2026-05-13,ai_feature_removed,business,AI features removed: Multi-language Mode,"['Multi-language Mode', '30 AI credits', 'Unlimited AI summaries', 'Conversation intelligence']","['30 AI credits', 'Unlimited AI summaries', 'Conversation intelligence']"
Fireflies.ai,2026-05-05,2026-05-13,ai_feature_removed,pro,AI features removed: AskFred: AI assistant,"['20 AI credits', 'Unlimited AI summaries', 'Personal Assistant', 'Voice Agents', 'AskFred: AI assistant', 'AI Skills']","['20 AI credits', 'Unlimited AI summaries', 'Personal Assistant', 'Voice Agents', 'AI Skills']"
Folk,2026-05-05,2026-05-13,ai_feature_added,custom,"AI features added: Custom AI field limits, Custom enrichment limits","['Workflow Assistant', 'Magic fields (AI)', 'Recap Assistant', 'AI Assistants', 'Relationship intelligence', 'Follow-up Assistant', 'Research Assistant']","['Custom AI field limits', 'Custom enrichment limits']"
Folk,2026-05-05,2026-05-13,ai_feature_removed,custom,"AI features removed: Workflow Assistant, Magic fields (AI), Recap Assistant, AI Assistants, Relationship intelligence, Follow-up Assistant, Research Assistant","['Workflow Assistant', 'Magic fields (AI)', 'Recap Assistant', 'AI Assistants', 'Relationship intelligence', 'Follow-up Assistant', 'Research Assistant']","['Custom AI field limits', 'Custom enrichment limits']"
Folk,2026-05-05,2026-05-13,ai_feature_added,premium,AI features added: Enhanced AI credits,"['Workflow Assistant', 'Magic fields (AI)', 'Recap Assistant', 'AI Assistants', 'Relationship intelligence', 'Follow-up Assistant', 'Research Assistant']","['AI Assistants', 'Enhanced AI credits', 'Magic fields (AI)']"
Folk,2026-05-05,2026-05-13,ai_feature_removed,premium,"AI features removed: Workflow Assistant, Recap Assistant, Relationship intelligence, Follow-up Assistant, Research Assistant","['Workflow Assistant', 'Magic fields (AI)', 'Recap Assistant', 'AI Assistants', 'Relationship intelligence', 'Follow-up Assistant', 'Research Assistant']","['AI Assistants', 'Enhanced AI credits', 'Magic fields (AI)']"
Frase,2026-05-05,2026-05-13,ai_feature_added,starter,AI features added: SERP research,"['AI-optimized articles', 'AI Agent (80+ skills)', 'AI Visibility tracking']","['AI-optimized articles', 'SERP research', 'AI Agent (80+ skills)', 'AI Visibility tracking']"
Frase,2026-05-05,2026-05-13,ai_feature_added,scale,AI features added: Multi-channel content creation,"['AI-optimized articles', 'AI Agent (80+ skills)', 'AI Visibility tracking']","['AI-optimized articles', 'Multi-channel content creation', 'AI Agent (80+ skills)', 'AI Visibility tracking']"
FullStory,2026-05-05,2026-05-13,model_change,N/A,Pricing model changed from custom_only to unknown,custom_only,unknown
FullStory,2026-05-05,2026-05-13,ai_feature_added,advanced,AI features added: Metric Insights,['StoryAI Summaries'],"['StoryAI Summaries', 'Metric Insights']"
FullStory,2026-05-05,2026-05-13,ai_feature_added,enterprise,"AI features added: StoryAI, GenAI and LLMs support, Predictive modeling",['StoryAI Summaries'],"['StoryAI', 'GenAI and LLMs support', 'Predictive modeling']"
FullStory,2026-05-05,2026-05-13,ai_feature_removed,enterprise,AI features removed: StoryAI Summaries,['StoryAI Summaries'],"['StoryAI', 'GenAI and LLMs support', 'Predictive modeling']"
GetAccept,2026-05-05,2026-05-13,tier_count_change,N/A,Number of tiers changed from 2 to 3,2,3
GetAccept,2026-05-05,2026-05-13,ai_feature_removed,professional,"AI features removed: Unlimited AI content (add-on), AI contract management (add-on)","['Unlimited AI content (add-on)', 'AI Editor', 'AI Knowledge base', 'GetAccept AI', 'Meeting summarizer', 'Smart content', 'AI contract management (add-on)']","['AI Editor', 'AI Knowledge base', 'GetAccept AI', 'Meeting summarizer', 'Smart content']"
GetAccept,2026-05-05,2026-05-13,tier_added,enterprise,New tier 'enterprise' added,N/A,None
Heap,2026-05-05,2026-05-13,ai_feature_added,premier,"AI features added: AI Powered Assistant, Sense Contentsquare's AI","[""Sense Contentsquare's AI: AI Powered Assistant""]","['AI Powered Assistant', ""Sense Contentsquare's AI""]"
Heap,2026-05-05,2026-05-13,ai_feature_removed,premier,AI features removed: Sense Contentsquare's AI: AI Powered Assistant,"[""Sense Contentsquare's AI: AI Powered Assistant""]","['AI Powered Assistant', ""Sense Contentsquare's AI""]"
Heap,2026-05-05,2026-05-13,ai_feature_added,pro,"AI features added: AI Powered Assistant, Sense Contentsquare's AI","[""Sense Contentsquare's AI: AI Powered Assistant""]","['AI Powered Assistant', ""Sense Contentsquare's AI""]"
Heap,2026-05-05,2026-05-13,ai_feature_removed,pro,AI features removed: Sense Contentsquare's AI: AI Powered Assistant,"[""Sense Contentsquare's AI: AI Powered Assistant""]","['AI Powered Assistant', ""Sense Contentsquare's AI""]"
Heap,2026-05-05,2026-05-13,ai_feature_added,growth,"AI features added: AI Powered Assistant, Sense Contentsquare's AI","[""Sense Contentsquare's AI: AI Powered Assistant""]","['AI Powered Assistant', ""Sense Contentsquare's AI""]"
Heap,2026-05-05,2026-05-13,ai_feature_removed,growth,AI features removed: Sense Contentsquare's AI: AI Powered Assistant,"[""Sense Contentsquare's AI: AI Powered Assistant""]","['AI Powered Assistant', ""Sense Contentsquare's AI""]"
Highspot,2026-05-05,2026-05-13,tier_removed,good,Tier 'good' was removed,None,N/A
Highspot,2026-05-05,2026-05-13,tier_added,better - train and practice,New tier 'better - train and practice' added,N/A,None
Highspot,2026-05-05,2026-05-13,tier_removed,best,Tier 'best' was removed,None,N/A
Highspot,2026-05-05,2026-05-13,tier_removed,better,Tier 'better' was removed,None,N/A
Highspot,2026-05-05,2026-05-13,tier_added,good - equip and engage,New tier 'good - equip and engage' added,N/A,None
Highspot,2026-05-05,2026-05-13,tier_added,best - coach and reinforce,New tier 'best - coach and reinforce' added,N/A,None
Hightouch,2026-05-05,2026-05-13,tier_count_change,N/A,Number of tiers changed from 3 to 0,3,0
Hightouch,2026-05-05,2026-05-13,tier_removed,agentic marketing platform,Tier 'agentic marketing platform' was removed,None,N/A
Hightouch,2026-05-05,2026-05-13,tier_removed,composable cdp,Tier 'composable cdp' was removed,None,N/A
