company,sector,subsector,pricing_url
Streak,Sales & Revenue,CRM & Pipeline,https://www.streak.com/pricing
Insightly,Sales & Revenue,CRM & Pipeline,https://www.insightly.com/crm/pricing
SugarCRM,Sales & Revenue,CRM & Pipeline,https://www.sugarcrm.com/pricing
Nimble,Sales & Revenue,CRM & Pipeline,https://www.nimble.com/pricing
ZoomInfo,Sales & Revenue,Prospecting & Data,https://www.zoominfo.com/pricing
LinkedIn Sales Navigator,Sales & Revenue,Prospecting & Data,https://business.linkedin.com/sales-solutions/compare-plans
Cognism,Sales & Revenue,Prospecting & Data,https://www.cognism.com/pricing
Lusha,Sales & Revenue,Prospecting & Data,https://www.lusha.com/pricing
Seamless.ai,Sales & Revenue,Prospecting & Data,https://seamless.ai/pricing
LeadIQ,Sales & Revenue,Prospecting & Data,https://leadiq.com/pricing
6sense,Sales & Revenue,Prospecting & Data,https://6sense.com/pricing
Dealfront,Sales & Revenue,Prospecting & Data,https://www.dealfront.com/pricing
Clearbit (HubSpot),Sales & Revenue,Prospecting & Data,https://clearbit.com/pricing
Bombora,Sales & Revenue,Prospecting & Data,https://bombora.com/pricing
RocketReach,Sales & Revenue,Prospecting & Data,https://rocketreach.co/pricing
UpLead,Sales & Revenue,Prospecting & Data,https://www.uplead.com/pricing
Kaspr,Sales & Revenue,Prospecting & Data,https://www.kaspr.io/pricing
Hunter.io,Sales & Revenue,Prospecting & Data,https://hunter.io/pricing
PandaDoc,Sales & Revenue,Quotes & Contracts,https://www.pandadoc.com/pricing
DealHub,Sales & Revenue,Quotes & Contracts,https://dealhub.io/pricing
Proposify,Sales & Revenue,Quotes & Contracts,https://www.proposify.com/pricing
Qwilr,Sales & Revenue,Quotes & Contracts,https://qwilr.com/pricing
GetAccept,Sales & Revenue,Quotes & Contracts,https://www.getaccept.com/pricing
DocuSign,Sales & Revenue,Quotes & Contracts,https://www.docusign.com/products-and-pricing
Conga,Sales & Revenue,Quotes & Contracts,https://conga.com/pricing
Vendavo,Sales & Revenue,Quotes & Contracts,https://www.vendavo.com/pricing
CaptivateIQ,Sales & Revenue,Sales Compensation,https://www.captivateiq.com/pricing
Spiff,Sales & Revenue,Sales Compensation,https://www.spiff.com/pricing
QuotaPath,Sales & Revenue,Sales Compensation,https://www.quotapath.com/pricing
Everstage,Sales & Revenue,Sales Compensation,https://www.everstage.com/pricing
Xactly,Sales & Revenue,Sales Compensation,https://www.xactlycorp.com/pricing
Performio,Sales & Revenue,Sales Compensation,https://www.performio.co/pricing
Varicent,Sales & Revenue,Sales Compensation,https://www.varicent.com/pricing
Semrush,Marketing & Analytics,SEO & Content,https://www.semrush.com/pricing
Ahrefs,Marketing & Analytics,SEO & Content,https://ahrefs.com/pricing
Moz,Marketing & Analytics,SEO & Content,https://moz.com/products/pricing
Surfer SEO,Marketing & Analytics,SEO & Content,https://surferseo.com/pricing
SE Ranking,Marketing & Analytics,SEO & Content,https://seranking.com/pricing.html
Clearscope,Marketing & Analytics,SEO & Content,https://www.clearscope.io/pricing
MarketMuse,Marketing & Analytics,SEO & Content,https://www.marketmuse.com/pricing
Frase,Marketing & Analytics,SEO & Content,https://www.frase.io/pricing
BrightEdge,Marketing & Analytics,SEO & Content,https://www.brightedge.com/pricing
Conductor,Marketing & Analytics,SEO & Content,https://www.conductor.com/pricing
Jasper,Marketing & Analytics,SEO & Content,https://www.jasper.ai/pricing
Writer,Marketing & Analytics,SEO & Content,https://writer.com/pricing
Copy.ai,Marketing & Analytics,SEO & Content,https://www.copy.ai/pricing
Mailchimp,Marketing & Analytics,Email & Marketing Automation,https://mailchimp.com/pricing
Klaviyo,Marketing & Analytics,Email & Marketing Automation,https://www.klaviyo.com/pricing
ActiveCampaign,Marketing & Analytics,Email & Marketing Automation,https://www.activecampaign.com/pricing
Brevo (Sendinblue),Marketing & Analytics,Email & Marketing Automation,https://www.brevo.com/pricing
ConvertKit,Marketing & Analytics,Email & Marketing Automation,https://convertkit.com/pricing
Drip,Marketing & Analytics,Email & Marketing Automation,https://www.drip.com/pricing
Customer.io,Marketing & Analytics,Email & Marketing Automation,https://customer.io/pricing
Iterable,Marketing & Analytics,Email & Marketing Automation,https://iterable.com/pricing
Ortto,Marketing & Analytics,Email & Marketing Automation,https://ortto.com/pricing
Omnisend,Marketing & Analytics,Email & Marketing Automation,https://www.omnisend.com/pricing
Moosend,Marketing & Analytics,Email & Marketing Automation,https://moosend.com/pricing
MailerLite,Marketing & Analytics,Email & Marketing Automation,https://www.mailerlite.com/pricing
HubSpot Marketing Hub,Marketing & Analytics,Email & Marketing Automation,https://www.hubspot.com/pricing/marketing
Marketo (Adobe),Marketing & Analytics,Email & Marketing Automation,https://business.adobe.com/products/marketo/pricing
Amplitude,Marketing & Analytics,Product Analytics,https://amplitude.com/pricing
Mixpanel,Marketing & Analytics,Product Analytics,https://mixpanel.com/pricing
Heap,Marketing & Analytics,Product Analytics,https://www.heap.io/pricing
PostHog,Marketing & Analytics,Product Analytics,https://posthog.com/pricing
FullStory,Marketing & Analytics,Product Analytics,https://www.fullstory.com/pricing
Hotjar,Marketing & Analytics,Product Analytics,https://www.hotjar.com/pricing
LogRocket,Marketing & Analytics,Product Analytics,https://logrocket.com/pricing
Pendo,Marketing & Analytics,Product Analytics,https://www.pendo.io/pricing
Smartlook,Marketing & Analytics,Product Analytics,https://www.smartlook.com/pricing
Crazy Egg,Marketing & Analytics,Product Analytics,https://www.crazyegg.com/pricing
Lucky Orange,Marketing & Analytics,Product Analytics,https://www.luckyorange.com/pricing
Hootsuite,Marketing & Analytics,Social Media Management,https://www.hootsuite.com/plans
Buffer,Marketing & Analytics,Social Media Management,https://buffer.com/pricing
Sprout Social,Marketing & Analytics,Social Media Management,https://sproutsocial.com/pricing
Later,Marketing & Analytics,Social Media Management,https://later.com/pricing
Sprinklr,Marketing & Analytics,Social Media Management,https://www.sprinklr.com/pricing
Brandwatch,Marketing & Analytics,Social Media Management,https://www.brandwatch.com/pricing
SocialBee,Marketing & Analytics,Social Media Management,https://socialbee.com/pricing
Loomly,Marketing & Analytics,Social Media Management,https://www.loomly.com/pricing
Publer,Marketing & Analytics,Social Media Management,https://publer.io/pricing
Sendible,Marketing & Analytics,Social Media Management,https://www.sendible.com/pricing
Agorapulse,Marketing & Analytics,Social Media Management,https://www.agorapulse.com/pricing
AdRoll,Marketing & Analytics,Advertising & Paid Media,https://www.adroll.com/pricing
Metadata.io,Marketing & Analytics,Advertising & Paid Media,https://metadata.io/pricing
Optmyzr,Marketing & Analytics,Advertising & Paid Media,https://www.optmyzr.com/pricing
WordStream,Marketing & Analytics,Advertising & Paid Media,https://www.wordstream.com/pricing
Adalysis,Marketing & Analytics,Advertising & Paid Media,https://adalysis.com/pricing
Adzooma,Marketing & Analytics,Advertising & Paid Media,https://www.adzooma.com/pricing
Unbounce,Marketing & Analytics,Advertising & Paid Media,https://unbounce.com/pricing
Instapage,Marketing & Analytics,Advertising & Paid Media,https://instapage.com/pricing
Segment,Marketing & Analytics,Customer Data Platforms,https://segment.com/pricing
mParticle,Marketing & Analytics,Customer Data Platforms,https://www.mparticle.com/pricing
RudderStack,Marketing & Analytics,Customer Data Platforms,https://www.rudderstack.com/pricing
Treasure Data,Marketing & Analytics,Customer Data Platforms,https://www.treasuredata.com/pricing
Tealium,Marketing & Analytics,Customer Data Platforms,https://tealium.com/pricing
Lytics,Marketing & Analytics,Customer Data Platforms,https://www.lytics.com/pricing
Hightouch,Marketing & Analytics,Customer Data Platforms,https://hightouch.com/pricing
Census,Marketing & Analytics,Customer Data Platforms,https://www.getcensus.com/pricing
